SM_code	CPI_code
00000	
10180	N300
10380	PR
10420	S200
10500	N300
10540	N400
10580	N100
10740	N400
10780	N300
10900	N100
11020	N100
11100	N300
11180	N200
11244	DUP (S400)
11260	S49G
11460	N200
11500	N300
11540	N200
11640	PR
11700	N300
12020	N300
12060	S35C
12100	N100
12220	N300
12260	N300
12420	N300
12540	N400
12580	S35E
12940	N300
12980	N200
13020	N200
13140	N300
13220	N300
13380	N400
13460	N400
13740	N400
13780	N100
13820	N300
13900	N200
13980	N300
14010	N200
14020	N200
14100	N100
14260	N400
14500	N400
14540	N300
14740	N400
15180	N300
15260	N300
15380	N100
15500	N300
15680	N300
15804	N100
15940	N200
15980	N300
16020	N200
16060	N200
16180	N400
16220	N400
16300	N200
16540	N100
16580	N200
16620	N300
16700	N300
16740	N300
16820	N300
16860	N300
16940	N400
16974	DUP (S200)
16980	S23A
17020	N400
17140	S200
17300	N300
17420	N300
17460	S200
17660	N400
17780	N300
17820	N400
17860	N200
17900	N300
17980	N300
18020	N300
18140	N200
18580	N300
18700	N400
18880	N300
19060	N300
19100	S37A
19124	DUP (S300)
19140	N300
19180	N200
19300	N300
19340	N200
19380	N200
19460	N300
19500	N200
19660	N300
19740	S48B
19780	N200
19804	DUP (S200)
19820	S23B
20020	N300
20100	N300
20220	N200
20260	N200
20500	N300
20524	N100
20700	N100
20740	N200
20940	N400
20994	DUP (S200)
21060	N300
21140	N200
21300	N100
21340	N300
21420	N300
21500	N100
21660	N400
21780	N200
21820	S49G
22020	N200
22140	N200
22180	N300
22220	N300
22380	N400
22420	N200
22500	N300
22520	N300
22540	N200
22660	N400
22744	DUP (S300)
22900	N300
23060	N200
23104	DUP (S300)
23420	N400
23460	N300
23540	N300
23580	N300
23844	N200
23900	N100
24020	N100
24140	N300
24220	N200
24260	N200
24300	N400
24340	N200
24420	N400
24500	N400
24540	N400
24580	N200
24660	N300
24780	N300
24860	N300
25020	PR
25060	N300
25180	N300
25220	N300
25260	N400
25420	N100
25500	N300
25620	N300
25860	N300
25940	N300
25980	N300
26140	N300
26300	N400
26380	N300
26420	S37B
26580	N300
26620	N300
26820	N400
26900	N200
26980	N200
27060	N100
27100	N200
27140	N300
27180	N300
27260	N300
27340	N300
27500	N200
27620	N200
27740	N300
27780	N100
27860	N300
27900	N200
27980	S49F
28020	N200
28100	N200
28140	A214
28420	N400
28660	N300
28700	N300
28740	N100
28940	N300
29020	N200
29100	N200
29180	N300
29200	N200
29340	N400
29404	N200
29420	N400
29460	N300
29540	N100
29620	N200
29700	N300
29740	N400
29820	N400
29940	N200
30020	N200
30140	N100
30300	N400
30460	N300
30620	N200
30700	N200
30780	N400
30860	N400
30980	N300
31020	N400
31080	S49A
31084	DUP (S400)
31140	N200
31180	N300
31340	N300
31420	N300
31460	N400
31540	N200
31740	N200
31860	N200
31900	N200
32420	PR
32580	N300
32780	N400
32820	N300
32900	N400
33100	S35B
33124	DUP (S300)
33140	N200
33220	N200
33260	N300
33340	S200
33460	S24A
33540	N400
33660	N300
33700	N400
33740	N300
33780	N200
33860	N300
33874	N100
34060	N300
34100	N300
34580	N400
34620	N200
34740	N200
34820	N300
34900	N400
34940	N300
34980	N300
35004	N100
35084	DUP (S100)
35100	N300
35380	N300
35614	DUP (S100)
35620	S12A
35660	N200
35840	N300
36084	DUP (S400)
36100	N300
36140	N100
36220	N300
36260	N400
36420	N200
36500	N400
36540	N200
36740	N300
36780	N200
36980	N300
37100	N400
37340	N300
37460	N300
37620	N300
37860	N300
37900	N200
37964	DUP (S100)
37980	S12B
38060	S48A
38220	N300
38300	A104
38540	N400
38660	PR
38900	S400
38940	N300
39140	N400
39340	N400
39380	N400
39460	N300
39540	S200
39580	N300
39660	N200
39740	N100
39820	N400
39900	N400
40060	N300
40140	S49C
40220	N300
40340	N200
40380	N100
40420	N200
40580	N300
40660	N300
40900	N400
40980	N200
41060	N200
41100	N400
41140	N200
41180	S24B
41420	S400
41500	N400
41540	N300
41620	N400
41660	N300
41700	N300
41740	S49E
41860	S49B
41884	DUP (S400)
41900	PR
41940	N400
41980	PR
42020	N400
42034	N400
42100	N400
42140	N400
42200	N400
42220	N400
42340	N300
42540	N100
42644	DUP (S400)
42660	S49D
42680	N300
42700	N300
43100	N200
43300	N300
43340	N300
43420	N400
43524	N300
43580	N200
43620	N200
43780	N200
43900	N300
44060	N400
44100	N200
44180	N200
44220	N200
44300	N100
44420	N300
44700	N400
44940	N300
45060	N100
45104	DUP (S400)
45220	N300
45300	S35D
45460	N200
45500	N300
45540	N300
45780	N200
45820	N200
45940	N100
46060	N400
46140	N300
46220	N300
46300	N200
46340	N300
46520	S49F
46540	N100
46660	N300
46700	N400
47020	N300
47220	N100
47260	N300
47300	N400
47380	N300
47460	N400
47580	N300
47664	N200
47894	DUP (S300)
47900	S35A
47940	N200
48060	N100
48140	N200
48260	PR
48300	N400
48424	DUP (S300)
48540	PR
48620	N200
48660	N300
48700	N100
48864	N100
48900	N300
49020	N300
49180	N300
49420	N400
49620	N100
49660	N200
49700	N400
49740	N400
70750	N100
70900	N100
71650	DUP (S100)
71654	S11A
71950	N100
72104	N100
72400	N100
72850	N100
73050	N100
73104	N100
73450	N100
73604	N100
74204	N100
74500	N100
74650	N100
74804	N100
74854	N100
74950	N100
75404	N100
75550	N100
75700	N100
76450	N100
76524	N100
76600	N100
76750	N100
76900	N100
77200	N100
78100	N100
78254	N100
78700	N100
79600	N100
92581	DUP (S300)
92811	DUP (S200)
92812	DUP (S200)
93561	DUP (S100)
93562	N100
93563	N100
93565	N100
94781	N300
94783	N300
97961	DUP (S100)
97962	N100
99999	0000
